English word,French word,Frequency
beyond,au-delà,43
horse,cheval,241
scorn,mépris,104
proof,preuve,80
raise,élever,43
sweet,sucré,664
flatter,flatter,51
ransom,une rançon,59
measure,mesure,87
longer,plus long,106
speak,parler,1005
struck,frappé,73
mortal,mortel,96
benefit,avantage,39
flourish,fleurir,42
wisdom,sagesse,92
disgrace,disgrâce,46
machine,machine,2
march,Mars,82
authority,autorité,51
which,lequel,1418
believe,croyez,185
parolles,parolles,0
bottom,bas,36
spare,de rechange,48
fight,bats toi,272
fiery,ardent,47
skill,compétence,51
undertake,entreprendre,45
conduct,conduite,46
respect,le respect,100
return,revenir,224
clown,pitre,16
company,entreprise,203
holds,tient,73
question,question,148
sentence,phrase,39
awake,éveillé,62
short,court,103
goodness,la bonté,55
promise,promettre,105
humble,humble,72
search,chercher,43
awhile,quelque temps,101
common,commun,152
flesh,la chair,137
ground,sol,165
smell,odeur,50
spend,dépenser,67
steel,acier,69
single,Célibataire,58
entertainment,divertissement,37
denied,refusé,52
memory,Mémoire,58
shepherd,berger,68
deeds,actes,118
dagger,dague,44
enjoy,prendre plaisir,49
exeunt,sortir,7
simple,Facile,72
again,encore,757
wolsey,Wolsey,0
creature,créature,72
going,Aller,102
mighty,puissant,107
satisfied,satisfait,48
church,église,55
slander,calomnie,50
saint,Saint,25
charge,charge,197
launce,lancer,0
drums,tambours,36
nothing,rien,541
natural,Naturel,57
great,génial,830
dread,crainte,46
padua,Padoue,0
heaven,paradis,577
contempt,mépris,43
birth,naissance,87
country,pays,180
misery,misère,37
prologue,prologue,19
brought,apporté,186
scene,scène,34
knock,frappe,64
therefore,par conséquent,363
assure,assurer,46
business,Entreprise,231
effect,effet,70
commission,commission,48
sorrow,chagrin,185
hostess,hôtesse,29
offend,offenser,57
anger,colère,58
estate,biens,49
paris,Paris,0
because,car,81
those,ceux,467
above,au dessus,124
grave,la tombe,182
person,la personne,150
shall,doit,3128
brain,cerveau,95
trick,tour,53
father,père,1034
blame,faire des reproches,82
limbs,membres,47
noble,noble,588
feast,le banquet,97
summer,été,89
wound,blessure,70
curse,malédiction,98
fearful,craintif,90
lovers,les amoureux,55
library,bibliothèque,3
sport,sport,119
provided,à condition de,27
morning,Matin,130
victory,la victoire,46
cares,se soucie,36
banish,bannir,116
tender,soumissionner,147
shows,montre,95
chamber,chambre,119
nature,la nature,332
knight,Chevalier,122
bears,ours,102
reason,raison,279
grant,subvention,99
according,selon,24
hazard,danger,39
talbot,talbot,0
window,la fenêtre,48
while,tandis que,177
write,écrire,105
prince,prince,119
damned,damné,43
priest,prêtre,61
ancient,ancien,72
black,noir,157
turns,se tourne,47
viola,alto,0
everything,tout,41
clothes,vêtements,40
brief,bref,84
contrary,contraire,47
stood,se tenait,82
vantage,avantage,40
walls,des murs,84
world,monde,678
lands,terres,53
place,endroit,450
rotten,pourri,36
happiness,bonheur,55
hundred,cent,114
meeting,réunion,50
along,le long de,108
suffolk,suffolk,0
cousin,cousin,236
fought,combattu,65
afraid,peur,41
almost,presque,139
frown,froncer les sourcils,51
study,étude,60
laugh,rire,110
purse,bourse,87
betray,trahir,56
lieutenant,lieutenant,32
dramatis,dramatis,0
giving,donnant,34
brows,sourcils,45
alive,vivant,86
hector,Hector,0
loose,ample,50
receive,recevoir,81
shame,la honte,294
every,chaque,456
teach,enseigner,91
perhaps,peut-être,32
virtue,vertu,179
speaks,parle,125
least,moins,101
bitter,amer,73
whither,où,38
would,aurait,2027
brook,ruisseau,43
sirrah,sirrah,77
hands,mains,319
motion,mouvement,80
please,S'il vous plaît,334
watch,regarder,135
fault,faute,170
shake,secouer,91
court,tribunal,358
faces,visages,53
citizen,citoyenne,5
picture,image,43
truly,vraiment,124
prison,prison,89
strange,étrange,241
protest,manifestation,52
steward,intendant,22
folly,folie,79
coming,venir,145
these,celles-ci,1101
dearest,très cher,56
trumpet,trompette,79
meant,signifiait,53
found,a trouvé,219
mercy,pitié,171
being,étant,548
device,dispositif,43
proud,fier,194
suddenly,tout à coup,48
yours,le tiens,248
affection,affection,71
staff,Personnel,41
certain,certain,167
personal,personnel,13
follow,suivre,281
drawn,tiré,84
revolt,révolte,41
enemies,ennemis,111
money,argent,179
lives,vies,188
ferdinand,Ferdinand,0
excellent,excellent,100
surely,sûrement,35
heavy,lourd,167
witch,sorcière,43
intend,avoir l'intention,51
profit,profit,38
flood,inonder,47
tarry,goudronneux,35
occasion,occasion,73
worse,pire,151
sight,vue,200
widow,veuve,70
neighbour,voisine,51
something,quelque chose,152
prize,prix,47
fancy,fantaisie,56
names,des noms,49
elbow,coude,19
constable,gendarme,18
frame,Cadre,45
henceforth,désormais,25
thrive,prospérer,56
brains,cerveaux,45
parts,les pièces,107
steal,voler,78
sword,épée,351
desire,le désir,209
coward,lâche,84
matter,matière,354
quality,qualité,55
safety,sécurité,74
favour,favoriser,137
guard,garde,105
myself,moi même,512
passage,passage,35
train,train,79
intent,intention,50
slave,esclave,128
title,Titre,91
chair,chaise,177
farewell,adieu,161
supper,souper,61
abide,respecter,35
maiden,jeune fille,49
majesty,majesté,69
field,champ,188
fenton,Fenton,0
wounded,blessés,38
deadly,mortel,50
night,nuit,808
danger,danger,138
captain,capitaine,60
forbear,ancêtre,44
slain,tué,125
doctor,docteur,34
suffer,souffrir,102
ambition,ambition,45
pains,des douleurs,91
proceed,procéder,47
together,ensemble,241
council,conseil,23
drunk,ivre,68
fellow,compagnon,306
pretty,jolie,109
quarrel,querelle,95
elder,aîné,43
dream,rêver,126
marry,marier,183
bearing,palier,63
ladyship,Madame,43
crown,couronne,297
thomas,Thomas,0
commend,saluer,58
saying,en disant,50
worth,vaut,201
durst,durst,45
valour,valeur,99
herself,se,91
begin,commencer,102
liberty,liberté,71
regard,qui concerne,41
master,Maître,503
judgment,jugement,102
prove,prouver,233
trust,confiance,156
content,contenu,141
kings,rois,106
france,France,0
whore,putain,46
partly,partiellement,33
straight,tout droit,145
glorious,glorieux,41
parted,séparé,44
souls,âmes,110
beard,barbe,96
oliver,oliver,0
farther,plus loin,42
answer,répondre,403
constant,constant,48
think,pense,986
patience,la patience,160
rough,rugueux,66
defend,défendre,65
story,récit,67
weeping,larmes,56
flight,vol,52
cloten,cailloter,0
through,par,227
render,rendre,44
match,rencontre,98
merry,joyeux,165
ignorant,ignorant,48
didst,didst,145
merchant,marchande,31
uncle,oncle,191
always,toujours,59
solemn,solennel,38
desperate,désespéré,50
plague,peste,88
hollow,creux,48
perceive,apercevoir,91
hateful,odieux,39
state,Etat,305
despite,malgré,44
valentine,Valentin,0
stain,tache,62
embrace,embrasse,61
noise,bruit,107
sharp,tranchant,67
flies,mouches,56
bought,acheté,51
though,bien que,400
house,maison,547
native,originaire de,43
withal,avec,136
themselves,se,158
works,travaux,23
athens,Athènes,0
fiend,démon,65
policy,politique,45
exeter,Exeter,0
sooner,plus tôt,60
knowledge,connaissance,76
where,où,684
issue,problème,110
forest,forêt,61
waste,déchets,43
blush,rougir,52
drown,noyer,82
messenger,Messager,58
percy,Percy,0
rogue,coquin,79
winter,hiver,67
advantage,avantage,70
courtesy,courtoisie,64
become,devenir,131
revenge,vengeance,130
salerio,salerio,0
malice,malice,70
special,spécial,38
beaten,battu,48
tailor,tailleur,35
cupid,Cupidon,0
ladies,Dames,104
merit,mérite,51
little,peu,476
anything,n'importe quoi,100
glory,gloire,86
ulysses,Ulysse,0
death,décès,845
silence,silence,62
depart,partir,62
swore,juré,50
remember,rappelles toi,152
husband,mari,321
leontes,leontes,0
knife,couteau,55
tonight,ce soir,47
truth,vérité,334
acquainted,connaissance,38
porter,porter,17
faint,perdre connaissance,44
avoid,éviter,34
neither,ni,155
public,Publique,55
stars,étoiles,68
armour,armure,41
taste,goût,75
servant,serviteur,148
maria,maria,0
dance,Danse,68
fresh,Frais,86
abuse,abuser de,46
large,grand,69
palace,palais,151
sometime,parfois,59
borne,supporté,80
better,mieux,566
change,changement,148
party,fête,51
rascal,coquin,60
plain,plaine,117
poison,poison,89
shine,éclat,43
emperor,empereur,17
image,image,88
whose,dont,383
forward,vers l'avant,87
familiar,familier,35
offer,offre,104
degree,diplôme,46
power,Puissance,302
bedford,Bedford,0
edmund,Edmund,0
emilia,Émilie,0
mariana,Mariana,0
mouth,bouche,145
willing,prêt,36
enough,assez,291
wench,jeune fille,62
brother,frère,600
attended,assisté,42
tedious,fastidieux,44
midnight,minuit,41
repair,réparation,38
choice,choix,70
oaths,serments,68
claudio,Claudio,0
cross,traverser,98
fairy,Fée,41
could,pourrait,557
false,faux,283
freely,librement,52
prohibited,interdit,0
spirit,esprit,254
confess,avouer,134
silver,argent,65
blind,aveugle,82
learn,apprendre,113
below,au dessous de,52
lords,seigneurs,329
bastard,Connard,66
sorry,Pardon,88
mother,mère,399
doing,Faire,67
subject,matière,104
realm,domaine,53
fourth,Quatrième,11
colour,Couleur,89
object,objet,39
action,action,113
madness,la démence,67
praise,louange,177
stuff,des trucs,63
throat,gorge,51
double,double,83
mistress,maîtresse,262
chide,gronder,45
thing,chose,358
breed,race,47
treasure,Trésor,53
soldier,soldat,149
cinna,cinna,0
precious,précieux,76
sense,sens,124
swear,jurer,241
entertain,divertir,55
ready,prêt,125
guilty,coupable,69
leave,laisser,610
burning,brûlant,50
right,droite,325
stand,supporter,466
shadow,ombre,71
written,écrit,34
weight,poids,44
yourself,toi même,268
battle,bataille,117
gallant,galant,55
behalf,nom,45
approach,approche,64
monster,monstre,76
having,ayant,122
habit,habitude,39
murder,meurtre,57
outward,vers l'extérieur,50
civil,civil,50
terms,termes,74
substance,substance,41
first,première,468
justice,Justice,142
obedience,obéissance,48
endure,supporter,73
makes,fait du,311
sought,recherché,35
enobarbus,énobarbus,0
purpose,objectif,203
suspect,suspect,35
trial,procès,60
copies,copies,4
former,ancien,63
lovely,charmant,53
tyrant,tyran,58
ghost,fantôme,30
thunder,tonnerre,56
appears,apparaît,49
blunt,cru,27
forbid,interdire,70
morrow,demain,326
twice,deux fois,62
stroke,accident vasculaire cérébral,40
slender,mince,10
polixenes,polixènes,0
syracuse,Syracuse,0
counsel,Conseil,131
labour,la main d'oeuvre,92
cannot,ne peux pas,718
clear,clair,64
copyright,droits d'auteur,7
needs,Besoins,142
venice,venise,0
minister,ministre,38
breath,souffle,229
peace,paix,396
thrust,poussée,47
catch,capture,74
second,seconde,100
wretch,misérable,59
store,boutique,40
small,petit,85
practice,entraine toi,41
taken,pris,90
membership,adhésion,0
letter,lettre,245
forsooth,en vérité,42
pardon,pardon,243
abroad,à l'étranger,63
eternal,éternel,37
street,rue,79
jealous,jaloux,49
tears,larmes,274
forces,les forces,42
sudden,soudain,78
tower,la tour,11
fashion,mode,110
clarence,clarté,0
surrey,Surrey,0
welcome,Bienvenue,273
speed,la vitesse,112
wrong,faux,272
gates,portes,101
heads,têtes,110
enemy,ennemi,167
beast,la bête,72
dreams,rêves,45
readable,lisible,2
seeing,voyant,42
visit,visite,50
thank,remercier,280
murther,aller plus loin,45
wrath,colère,55
bones,des os,76
liege,Liege,140
chaste,chaste,37
garden,jardin,46
posthumus,posthume,0
sovereign,souverain,150
disposition,disposition,44
about,sur,358
fruit,fruit,37
ariel,Ariel,0
marcus,Marcus,0
leisure,loisir,63
unhappy,malheureux,34
tribunes,tribunes,27
foolish,insensé,95
deserve,mériter,59
might,pourrait,453
forget,oublier,90
reputation,réputation,45
fierce,féroce,37
accuse,accuser,34
crave,demander,41
without,sans pour autant,287
particular,particulier,54
counterfeit,contrefaire,53
innocent,innocent,50
minds,esprits,55
bring,apporter,375
attend,assister,103
greet,saluer,41
includes,comprend,2
looks,regards,202
friend,ami,435
maids,servantes,42
quoth,quoth,62
never,jamais,907
drink,boisson,149
learned,appris,49
gower,gower,0
speech,discours,128
wonder,merveille,116
protector,protecteur,2
sickness,maladie,53
spite,dépit,59
close,proche,96
reign,règne,46
figure,figure,41
flower,fleur,47
finds,trouve,38
milan,Milan,0
serve,servir,184
opinion,opinion,81
music,la musique,162
yonder,là-bas,59
dolabella,Dolabella,0
complete,Achevée,19
distributed,distribué,2
storm,orage,52
early,de bonne heure,46
permission,autorisation,4
sweat,transpiration,37
weeds,mauvaises herbes,42
shortly,prochainement,44
marriage,mariage,117
niece,nièce,61
cardinal,cardinal,9
appear,apparaître,133
hereafter,"ci-après, par la suite",45
margaret,margaret,0
month,mois,44
force,Obliger,103
knees,les genoux,51
marcius,Marcius,0
soothsayer,devin,3
flowers,fleurs,46
french,français,0
table,table,60
dying,en train de mourir,45
commit,commettre,30
reignier,règne,0
claim,prétendre,64
blest,heureux,50
hubert,Hubert,0
prayers,prières,85
sound,du son,172
fools,imbéciles,100
making,fabrication,56
before,avant,628
report,rapport,142
entreat,supplier,106
poins,poins,0
angel,ange,55
loves,aime,194
passion,la passion,106
cease,cesser,42
custom,Douane,43
there,Là,1501
comes,vient,590
queen,reine,189
third,troisième,73
consent,consentement,88
violent,violent,41
teeth,les dents,55
alone,seul,232
despair,désespoir,46
except,sauf,22
peril,péril,43
whole,entier,120
charity,charité,54
behold,voir,119
feeble,faible,21
pound,livre,54
somerset,somerset,0
oberon,Oberon,0
grown,grandi,59
royal,Royal,205
phebe,phebe,0
cominius,cominius,0
office,Bureau,127
lawful,légitime,60
unless,sauf si,64
bishop,évêque,3
bounty,prime,41
instant,instant,61
condition,état,83
heart,cœur,1051
means,veux dire,261
painted,peint,52
still,encore,499
lordship,seigneurie,124
wherein,où,66
dearly,chèrement,41
highness,altesse,1
consider,considérer,45
grief,douleur,212
account,Compte,45
glass,verre,68
private,privé,66
aside,de côté,130
bless,bénir,97
already,déjà,139
infinite,infini,38
mirth,gaieté,51
living,vivant,120
patient,patient,88
pistol,pistolet,4
treason,trahison,84
daughter,fille,426
shape,forme,87
plead,plaider,41
knows,sait,205
count,compter,50
heard,entendu,339
hence,Par conséquent,312
cheer,acclamation,78
express,Express,43
wrought,forgé,42
request,demande,67
asleep,endormi,59
challenge,défi,47
bodies,corps,44
either,Soit,115
maintain,maintenir,48
falls,des chutes,67
paulina,paulina,0
smile,sourire,69
their,leur,1935
remain,rester,59
tells,raconte,40
whence,d'où,58
cheek,joue,79
since,depuis,286
course,cours,157
undone,défait,52
scarce,rare,67
behind,derrière,114
trouble,difficulté,72
blood,du sang,660
dinner,dîner,92
countess,comtesse,1
displeasure,mécontentement,41
empty,vide,49
mischief,sottises,41
witness,témoin,108
honest,honnête,275
bright,brillant,70
comfort,confort,174
affairs,affaires,66
should,devrait,1428
quick,rapide,101
proclaim,proclamer,50
credit,crédit,51
indeed,En effet,358
season,saison,45
people,gens,213
strength,force,120
therein,la bride,47
brave,courageux,146
pompey,pompey,0
wives,épouses,58
villain,scélérat,229
miranda,Miranda,0
throw,jeter,90
fears,peurs,74
golden,d'or,86
proper,correct,62
offence,infraction,94
castle,Château,52
quiet,silencieux,73
whether,qu'il s'agisse,56
oxford,Oxford,0
besides,outre,49
rather,plutôt,290
breast,Sein,98
execution,exécution,48
piece,pièce,89
quite,assez,72
although,bien que,37
barren,Dénudé,38
weary,se lasser,73
chance,chance,103
shore,rive,49
understand,comprendre,97
between,entre,195
further,plus loin,184
meaning,sens,55
doors,des portes,61
under,sous,208
weapons,armes,40
senate,sénat,0
courage,courage,57
stone,calcul,65
unknown,inconnue,41
doubt,doute,162
modest,modeste,35
julia,Julia,0
conscience,conscience,119
other,autre,687
present,présent,239
beauty,beauté,224
pandarus,Pandarus,0
companion,un compagnon,36
others,autres,182
delight,délice,55
cunning,ruse,73
repent,se repentir,52
seven,Sept,64
equal,égal,43
excuse,excuse,72
spring,printemps,57
sworn,juré,132
taught,enseigné,48
unworthy,indigne,31
water,eau,148
within,dans,340
itself,lui-même,236
clifford,Clifford,0
download,Télécharger,0
knowing,connaissance,32
point,point,145
pedro,pedro,0
swift,rapide,67
dreadful,horrible,59
kindness,la gentillesse,51
sacred,sacré,46
nought,néant,54
toward,vers,94
cromwell,Cromwell,0
project,projet,12
mistake,erreur,34
duncan,Duncan,0
broke,cassé,84
carry,porter,81
clouds,des nuages,57
divine,Divin,48
deliver,livrer,119
gentle,doux,345
chief,chef,30
stomach,estomac,43
chain,chaîne,66
success,Succès,44
burden,fardeau,45
naked,nu,50
faith,Foi,317
hours,heures,139
gross,brut,55
order,ordre,90
jewel,bijou,58
several,nombreuses,79
triumph,triomphe,47
utter,prononcer,41
warrant,mandat,175
advice,Conseil,43
possible,possible,57
paper,papier,106
round,rond,72
orlando,orlando,0
blessing,bénédiction,42
rivers,rivières,11
perfect,parfait,55
fatal,fatal,42
kingdom,Royaume,101
touch,toucher,156
devise,concevoir,46
gaunt,décharné,6
strike,la grève,116
until,jusqu'à,41
loving,aimant,117
darkness,obscurité,37
vengeance,vengeance,178
dwell,habiter,40
fetch,chercher,103
manner,manière,81
version,version,1
young,Jeune,406
cause,cause,336
desert,désert,44
health,santé,91
secret,secret,65
command,commander,158
painter,peintre,10
demand,demande,53
warlike,guerrier,57
lorenzo,Lorenzo,0
hangs,bloque,34
forth,en avant,369
light,lumière,256
happy,heureux,187
pleasure,plaisir,179
judge,juge,84
commanded,commandé,35
thief,voleur,68
dispatch,envoi,76
encounter,rencontre,52
traitor,traitre,131
nurse,infirmière,73
youth,jeunesse,275
haste,hâte,154
woman,femme,416
discover,découvrir,39
spoke,parlait,137
prepare,préparer,48
heels,talons,73
bound,lié,171
egypt,Egypte,0
fortune,fortune,263
knave,fripon,174
sleep,sommeil,242
apparel,vêtements,39
throne,trône,67
voice,voix,157
number,nombre,54
senator,sénateur,4
beggar,mendiant,73
guess,devine,50
belike,être comme,22
remedy,remède,59
lucentio,Lucentio,0
tempest,tempête,42
thought,pensée,373
commercial,commercial,0
times,fois,208
child,enfant,227
afterwards,ensuite,38
ourselves,nous-mêmes,108
wealth,richesse,72
after,après,339
philip,Philippe,0
sister,sœur,194
strong,fort,190
enter,entrer,369
affections,affections,40
cruel,cruel,71
drops,gouttes,51
another,un autre,370
argument,argument,67
devil,diable,235
keeps,garde,69
reverence,révérence,44
valiant,vaillant,149
discourse,discours,58
wings,ailes,54
worship,culte,104
mowbray,mowbray,0
known,connu,185
grace,la grâce,274
hanging,pendaison,35
kneel,s'agenouiller,62
capitol,Capitole,0
complexion,complexion,40
general,général,187
blows,coups,68
buried,enterré,54
humour,humour,90
earth,Terre,313
pluck,cueillir,116
presence,présence,103
service,un service,221
grieve,pleurer,39
college,Université,3
absence,absence,55
green,vert,88
often,souvent,121
bassianus,bassianus,0
dishonour,déshonorer,48
pride,fierté,106
finger,doigt,64
given,donné,183
tongue,langue,411
claud,claud,0
yield,rendement,128
tread,bande de roulement,41
